ID,Category,Claim,Evidence Status,Novelty Status,Quantitative / Falsification Contract,Scope,Recommended Manuscript Wording,Forbidden / Retired Wording,Evidence Artifact,External Source URL,Manuscript Action
C10,Odd-sector mechanism,The arbitrary-origin slope d(DeltaFc)/deta (including the old ~2.8322 value) is a material susceptibility.,REJECTED,REJECTED,"Physical eta=1 thresholds are gauge invariant to ~1e-14, but origin-fixed eta slope changes with registry origin; canonical A_min-centered prepared observable has a finite branch-selection jump at eta=0, so the derivative does not exist there.",Applies to the computational continuation U_eta=U_even+eta U_odd.,"If eta is retained, label it a gauge-fixed or A_min-centered mathematical homotopy for mechanism isolation.",Do not call dDeltaFc/deta a material susceptibility.,janus_n4_gate/N4_ODD_SECTOR_GAUGE_GATE_REPORT.md,,REMOVE from Abstract/headline Results/Conclusion; SI-only if retained.
C11,Odd-sector mechanism,The old intermediate optimum eta≈0.5 is a physical/material optimum.,REJECTED,REJECTED,Unguided published-origin path peaks near eta≈0.925; A_min-centered path increases to eta=1 over tested interval; previous guided optimum also moves with origin.,Computational eta homotopy.,No material optimum should be reported.,Do not report eta_opt≈0.5 as a physical design optimum.,janus_n4_gate/N4_ODD_SECTOR_GAUGE_GATE_REPORT.md,,REMOVE wherever present in legacy material.
C12,Odd-sector mechanism,An A_min-centered eta path can be retained as a reproducible mechanism-isolation homotopy.,VERIFIED_AS_DIAGNOSTIC,NOT_A_NOVELTY_CLAIM,Transported center under 20 random reparameterizations agrees to ~1e-9; four symmetry-equivalent A_min centers give eta=0.5 thresholds equal to few-1e-8.,"Mathematical diagnostic only; not Pz, not experimental control.",“A translation-minimized-centered eta homotopy is used only as an SI mechanism-isolation diagnostic.”,Do not map eta directly to physical polarization.,janus_n4_gate/N4_ODD_SECTOR_GAUGE_GATE_REPORT.md,,OPTIONAL SI ONLY.
C13,Deterministic dynamics,Zero-mean forcing produces a broad sampled family of integer vector-locked states on the tested 91-point amplitude-period grid.,VERIFIED_WITH_SCOPE,LIKELY_COMBINATION_ONLY,"91/91 fresh replay points integer-locked; 91/91 also repeat the same integer winding on every measured cycle; max single-cycle locking residual ~9.55e-10. Joint damping-drive audit: 72 points over gamma*=2,3,4,5,6,8; F0*=1.4,2.0,2.6,3.0; tau*=30,40,60. Only 1/12 drive points preserves the gamma*=4 winding for all tested gamma; median preservation fraction 0.417; up to 5 winding pairs at one drive point.","The 91-point headline map is strictly for m*=1, gamma*=4. The joint audit verifies that damping and drive interact strongly; it does not define a continuous three-parameter phase diagram.",“The sampled vector-locking map is a declared-protocol result; a compact gamma-by-drive audit shows that damping can reorganize the winding map rather than merely shift one plateau boundary.”,"Do not claim every point in the continuous (F0,tau) plane is locked.",janus_n17_upstream_strengthening/fr_m02_joint_gamma_drive_map.csv,https://doi.org/10.1103/RevModPhys.81.387 ; https://doi.org/10.1103/PhysRevE.62.1988,"UPDATED after Five Reviewer FR-M02; keep gamma=4 headline, add joint-interaction limitation/evidence in Discussion/SI."
C14,Floquet dynamics,"The canonical (1,-1) orbit and representative additional plateaus are attracting relative-periodic orbits.",VERIFIED_WITH_SCOPE,LIKELY_COMBINATION_ONLY,"Canonical F0*=2,tau*=40: closure ~2e-11, rho_F≈6.31e-22 with DOP853/Radau rho_F<1. Six representative plateau states also rho_F<1; 24/24 timestep and 162/162 local basin probes pass.",Canonical orbit plus selected representative plateaus; not all 91 states Floquet-certified.,“Representative plateaus satisfy relative-periodic closure and cross-solver Floquet attraction.”,Do not claim all 91 points are independently Floquet-certified or interpret 1e-22 as a measurable physical scale.,janus_n5_gate/n5_newton_shooting_floquet.csv,https://doi.org/10.1103/PhysRevE.62.1988,STRENGTHEN carefully; preserve distinction between sampled locking and Floquet-certified representatives.
C15,Thermal dynamics,Exact deterministic winding identity is much less robust to thermal noise than the stationary directed mean current.,VERIFIED_WITH_SCOPE,LIKELY_AS_MODEL_RESULT,"Stationary protocol: dt=0.02, 60 burn + 100 measured cycles. Full T*=0.02-0.70 series uses N=500 trajectories; T*=0.50-0.70 has a second independent N=500 seed. Target (1,-1) cycle probability never exceeds ~0.0818 over the sampled nonzero-T series and is only ~0.011-0.016 in the pooled high-T band, while the mean current remains nonzero.","Canonical reduced BAOAB model at N=127, theta=1.5 deg, F0*=2, tau*=40, m*=1, gamma*=4. No extrapolation beyond T*=0.70.","“Thermal noise rapidly destroys exact cycle-by-cycle mode identity, while a weaker directed mean drift persists throughout the sampled stationary range.”",Do not interpret low target-winding probability as immediate loss of directed transport or as a thermal phase transition.,janus_redteam_gate/rtb01/RTB01_THERMAL_STATIONARITY_CLOSURE_REPORT.md,,"UPDATE Abstract, Results 3.7, Fig. 6, Discussion and Conclusion to the stationary protocol."
C16,Thermal dynamics,"Under the stationary long-window protocol, the mean lattice-v current remains negative and statistically separated from zero through the largest sampled temperature T*=0.70.",VERIFIED_WITH_SCOPE,NOT_A_NOVELTY_CLAIM,"Pooled two-seed N=1000 high-T audit: at T*=0.70, mean v=-0.07645 with 50k trajectory-bootstrap 95% interval [-0.10088,-0.05195]. The earlier 10+10 claim “resolved through 0.60 / unresolved at 0.65” fails the stationarity audit and is retired.",Sampled T*=0.50-0.70 high-T band; trajectory is the inferential unit; detectability depends on N and measurement duration.,"“The stationary mean v component remains negative through the largest sampled T*=0.70, although its magnitude decays strongly with temperature.”",Retire: “mean v is unresolved at T*=0.65” and any component-wise critical-temperature interpretation.,janus_redteam_gate/rtb01/stationary_thermal_bootstrap_50k.csv,,REPLACE old component-boundary language in Results/SI/Figure caption.
C17,Thermal dynamics,The full two-component stationary mean lattice current remains statistically nonzero through the largest sampled temperature T*=0.70.,VERIFIED_WITH_SCOPE,LIKELY_AS_MODEL_RESULT,"At T*=0.70, pooled N=1000 mean (u,v)=(0.036998,-0.076448). 50k trajectory bootstrap gives u [0.01265,0.06132], v [-0.10088,-0.05195]; zero-vector Mahalanobis distance 38.07 versus 95% contour threshold 6.04. Zero is excluded at every sampled high-T point 0.50-0.70. Trajectory-count convergence: 500 without-replacement subsamples from pooled N=1000; >=95% Hotelling zero-vector rejection stability occurs by N=100,200,200,300,500 for T*=0.50,0.55,0.60,0.65,0.70.",Stationary periodic reduced model under the declared drive/damping. No critical temperature is located and no statement is made for T*>0.70. The N=1000 high-T design is supported by an explicit precision/convergence audit; this is not a retrospective power calculation.,“The stationary mean vector decreases strongly with T* but remains statistically nonzero through the largest sampled value T*=0.70.”,Retire: “resolved at 0.65 and unresolved at 0.70.” Do not infer a critical thermal scale from finite-observation significance.,janus_n17_upstream_strengthening/fr_s01_thermal_n_convergence.csv,,UPDATED after Five Reviewer FR-S01; add N/precision convergence statement to Results/SI.
C18,Thermal dynamics,The cycle-sign statistic approaches an unbiased 0.5 at high T* but remains weakly above 0.5 through the largest sampled T*=0.70 under the stationary protocol.,VERIFIED_WITH_SCOPE,NOT_A_NOVELTY_CLAIM,"Pooled high-T trajectory bootstrap: P(v_cycle<0)=0.51933 [0.51632,0.52237] at 0.50 and 0.50802 [0.50506,0.51100] at 0.70; target-winding probability simultaneously falls to ~0.011.",Effect is statistically resolved but small; its detectability depends on trajectory count/window and should not define a physical boundary.,“The negative-v cycle fraction approaches one-half while retaining a small resolved bias through T*=0.70; exact deterministic winding identity is far more strongly mixed.”,Retire: “P(Delta y<0) becomes unresolved by T*=0.60.” Do not define an ad hoc T50 for the unguided vector problem.,janus_redteam_gate/rtb01/stationary_sign_target_bootstrap.csv,,UPDATE Figure 6/SI; retain as a distinct observable from the mean vector current.
C19,Thermal numerics,The stationary high-temperature mean-current effect size is compatible across the tested BAOAB timestep range.,VERIFIED_WITH_SCOPE,NOT_A_NOVELTY_CLAIM,"At T*=0.60,0.65,0.70, independent dt=0.04,0.02,0.01 reruns differ by no more than 1.12 combined SE in either component. Separate low-noise checks also showed compatibility across the same timestep range.","Tested temperatures, trajectory counts and dt range only; not a proof of global stochastic-integrator convergence.","“Mean-current estimates are compatible across dt=0.04, 0.02 and 0.01 in targeted low- and high-temperature checks.”","Do not imply complete stochastic-integrator convergence over all temperatures, observables or drive parameters.",janus_redteam_gate/rtb01/highT_dt_pairwise_z.csv,,UPDATE SI numerical-robustness statement; no new headline claim.
C20,In-plane elasticity,Allowing realistic-order in-plane compliance softens absolute depinning forces but preserves the directional sign and leaves rho comparatively stable.,VERIFIED_WITH_SCOPE,LIKELY_AS_ROBUSTNESS_TEST,"theta=1.5° nominal FEM: Fc+=2.934302, Fc-=1.190210, rho=0.422860 vs rigid rho=0.418601; C/2, 2C and alternative constants retain Fc+>Fc-; 100C returns within <0.07%.",N=127 free-edge in-plane membrane; no out-of-plane/edge reconstruction.,“In-plane relaxation renormalizes the absolute pinning scale but does not remove the prepared-state directional split in the tested stiffness range.”,Do not treat rigid Fc values as material constants.,janus_n8_gate/n8_elastic_linear_tight.csv,https://doi.org/10.1039/C8CP00350E ; https://doi.org/10.1021/acs.jpclett.3c01066,KEEP; refresh numerical values if using new fresh rerun rather than older rounded values.
C21,Nonlinear elasticity,The in-plane robustness is not a linear-FEM discretization artifact: an independently reconstructed nonlinear bond-angle VFF gives nearly the same thresholds and rho at matched elastic constants.,VERIFIED_WITH_SCOPE,LIKELY_AS_ROBUSTNESS_TEST,"Reconstructed VFF theta=1.5°: 2.935400/1.190479, rho=0.422921; differs from fresh FEM by ~0.037%/0.023%/0.014%. theta=3° differences remain <0.13%.","Reconstructed standard VFF matching the documented 342 bonds, 648 angles and target elastic constants; still in-plane only.",“Two distinct in-plane representations agree closely at matched stiffness.”,Do not call this full atomistic relaxation.,janus_n8_gate/n8_vff_reconstructed.csv,https://doi.org/10.1039/C8CP00350E,KEEP; archive reconstructed source with final submission package.
C22,Model interpretation,The rigid-model depinning thresholds are quantitative material constants for an experimental MoSSe slider.,REJECTED,REJECTED,In-plane elasticity changes absolute thresholds by ~4-5% at theta=1.5° and ~16-19% at theta=3° for nominal stiffness.,Interpretation of absolute reduced-model thresholds.,Describe thresholds as reduced-model predictions and emphasize robustness of sign/normalized split.,Do not present Fc values as universal material constants.,janus_n8_gate/N8_THERMAL_ELASTICITY_SENSITIVITY_GATE_REPORT.md,,KEEP current limitations language.
C23,Atomistic validation,The present work validates the effect in a fully 3D atomistically relaxed finite Janus MoSSe contact.,NOT_ESTABLISHED,NOT_APPLICABLE,"Current hierarchy includes local vertical registry relaxation in the source GSFE plus rigid, linear in-plane FEM and nonlinear in-plane VFF; public SW+KC candidate fails higher-harmonic quantitative GSFE contract.","Missing collective buckling/corrugation, atomistic edges, defects, nonlocal interactions.","“The result is DFT-anchored and robust to tested in-plane compliance, but not yet a full 3D atomistic validation.”",Do not use “fully atomistic validation” or “fully first-principles device simulation.”,janus_n8_gate/N8_THERMAL_ELASTICITY_SENSITIVITY_GATE_REPORT.md,,KEEP as a central limitation.
C24,Polarity mapping,Physical reversal of Janus polarization Pz is represented by eta→-eta or exact inversion of the lateral GSFE.,NOT_ESTABLISHED,NOT_APPLICABLE,No paired polarity-resolved first-principles GSFE surfaces are available; material operation may alter multiple amplitudes and phases.,Experimental/material interpretation.,“A quantitative polarity-to-rectification law requires paired polarity-resolved first-principles surfaces or equivalent atomistic input.”,Do not call exact mathematical inversion a physical polarization reversal.,janus_n4_gate/N4_ODD_SECTOR_GAUGE_GATE_REPORT.md,,KEEP current Discussion 4.4 limitation.
C25,Experimental calibration,"The reduced temperature, damping, mass and drive parameters can already be converted to Kelvin, Hz and device forces.",NOT_ESTABLISHED,NOT_APPLICABLE,"m*, gamma*, T* and time are reduced/device parameters not supplied by the GSFE input.",Connection to experiment.,“No physical thermal or frequency scale is inferred without independent calibration.”,Do not convert T* to kelvin or tau* to physical frequency without calibration.,janus_n8_gate/N8_THERMAL_ELASTICITY_SENSITIVITY_GATE_REPORT.md,,KEEP limitation.
N1,Novelty positioning,The generic existence of a 2D friction diode or rocking-ratchet mode locking is itself the novelty.,REJECTED_AS_POSITIONING,REJECTED,Closest prior art already includes friction-diode behavior and established rocking-ratchet/phase-locking phenomena.,Literature positioning.,Position novelty in the combined DFT-anchored prepared full-2D/same-spectrum/geometry/vector-locking hierarchy.,"Do not claim “first friction diode”, “first rocking ratchet”, or generic first mode locking.",Janus_MoSSe_Final_FiveReviewer_Audit.md,https://doi.org/10.1021/acsami.6c00303 ; https://doi.org/10.1103/RevModPhys.81.387 ; https://doi.org/10.1103/PhysRevE.62.1988,KEEP conservative Introduction positioning.
N2,Novelty positioning,The combined hierarchy—corrected MoSSe GSFE + unrestricted prepared-state full-2D depinning + same-spectrum symmetry falsification + compact-contact/boundary geometry + lattice-vector relative-periodic transport—is the defensible contribution.,SUPPORTED_BY_INTERNAL_EVIDENCE,LIKELY; FINAL_REVERSE_SEARCH_PENDING,All component numerical gates above pass within stated scopes; prior literature audit did not identify the full combination as an existing single study.,"Novelty is a literature statement, not established by numerical validation alone.",Use cautious contribution language such as “we combine/establish within this model…” rather than an unqualified first-ever claim.,Do not upgrade LIKELY to VERIFIED novelty until final literature reverse search/citation audit is complete.,Janus_MoSSe_Final_FiveReviewer_Audit.md,,HOLD as LIKELY; revisit in final Citation/Novelty Audit.
